departement,ville,coordonnesgroup
arrondissement de Commercy,Buxières-sous-les-Côtes,Point(5.671944444 48.915833333)
arrondissement des Sables-d'Olonne,Beauvoir-sur-Mer,Point(-2.042777777 46.916111111)
arrondissement de Béziers,Bassan,Point(3.253611111 43.411111111)
canton de Fénétrange,Berthelming,Point(7.005833333 48.816111111)
arrondissement de Metz-Campagne,Béchy,Point(6.380277777 48.986388888)
Yonne,Angely,Point(4.021111111 47.564722222)
Haut-Rhin,Algolsheim,Point(7.559166666 48.005833333)
Haut-Rhin,Baldersheim,Point(7.380277777 47.800277777)
Haut-Rhin,Bennwihr,Point(7.325277777 48.143611111)
canton de Vermand,Attilly,Point(3.168611111 49.856666666)
canton d'Arinthod,Aromas,Point(5.480555555 46.2925)
arrondissement de Thiers,Aubusson-d'Auvergne,Point(3.618055555 45.755277777)
canton d'Ars-sur-Moselle,Ars-sur-Moselle,Point(6.074166666 49.078055555)
arrondissement de Besançon,Arguel,Point(6.001944444 47.1975)
arrondissement de Pontoise,Arronville,Point(2.113611111 49.181111111)
canton d'Ars-sur-Moselle,Ancy-sur-Moselle,Point(6.058055555 49.056944444)
canton de Grostenquin,Biding,Point(6.786666666 49.058888888)
Nièvre,Biches,Point(3.650833333 47.006388888)
canton de Sainte-Croix-Volvestre,Barjac,Point(1.134166666 43.065555555)
arrondissement de Commercy,Bannoncourt,Point(5.499166666 48.959166666)
Pas-de-Calais,Audincthun,Point(2.138055555 50.585277777)
canton de Lautrec,Brousse,Point(2.072777777 43.717777777)
Haut-Rhin,Bartenheim,Point(7.475833333 47.634722222)
Pas-de-Calais,Alquines,Point(1.992222222 50.740555555)
canton de Saint-Lô-Ouest,Agneaux,Point(-1.111111111 49.116666666)
canton de Saint-Jean-Brévelay,Bignan,Point(-2.774444444 47.879166666)
canton de Saint-Jean-Brévelay,Buléon,Point(-2.676944444 47.935)
arrondissement de Saint-Gaudens,Arlos,Point(0.703611111 42.891388888)
arrondissement de Saint-Gaudens,Beauchalot,Point(0.868888888 43.107222222)
arrondissement de Limoux,Bugarach,Point(2.351111111 42.877222222)
canton d'Authon-du-Perche,Béthonvilliers,Point(0.909722222 48.221111111)
Montpellier Méditerranée Métropole,Baillargues,Point(4.012777777 43.661111111)
canton de Nogaro,Arblade-le-Haut,Point(-0.059722222 43.738888888)
Haut-Rhin,Baltzenheim,Point(7.555833333 48.093888888)
Haut-Rhin,Battenheim,Point(7.381666666 47.819722222)
Haut-Rhin,Bergheim,Point(7.361666666 48.205277777)
Haut-Rhin,Biederthal,Point(7.448611111 47.469722222)
Haut-Rhin,Biltzheim,Point(7.388055555 47.957777777)
arrondissement de Carcassonne,Bouilhonnac,Point(2.439722222 43.231388888)
arrondissement de Céret,Banyuls-dels-Aspres,Point(2.867222222 42.565833333)
arrondissement de Reims,Bouilly,Point(3.889166666 49.198611111)
Aude,Aunat,Point(2.095277777 42.793888888)
arrondissement de Saint-Lô,Brévands,Point(-1.183333333 49.331666666)
canton de La Mothe-Saint-Héray,Bougon,Point(-0.059444444 46.364444444)
arrondissement de Grenoble,Brion,Point(5.338333333 45.292777777)
Pas-de-Calais,Ablainzevelle,Point(2.731388888 50.152222222)
canton de Lyons-la-Forêt,Beauficel,Point(1.522777777 49.4075)
arrondissement de Brive-la-Gaillarde,Albignac,Point(1.678055555 45.139166666)
Haute-Loire,Alleyrac,Point(3.986388888 44.890277777)
arrondissement d'Alès,Anduze,Point(3.986572222 44.053475)
Finistère,Bénodet,Point(-4.112777777 47.876666666)
Finistère,Carantec,Point(-3.913611111 48.667777777)
Puy-de-Dôme,Apchat,Point(3.145833333 45.389444444)
arrondissement de Poitiers,Buxerolles,Point(0.349166666 46.5975)
