departement,ville,coordonnesgroup
arrondissement d'Angoulême,Ébréon,Point(0.031111111 45.9375)
arrondissement de Confolens,Ébréon,Point(0.031111111 45.9375)
arrondissement d'Arras,Willeman,Point(2.158611111 50.352777777)
arrondissement de Châteaudun,Yèvres,Point(1.190277777 48.210277777)
Moselle,Waldweistroff,Point(6.495833333 49.359166666)
Moselle,Zimming,Point(6.587777777 49.125277777)
Moselle,Zoufftgen,Point(6.133055555 49.4625)
arrondissement de Saverne,Waldolwisheim,Point(7.438055555 48.732777777)
arrondissement de Saverne,Wingersheim,Point(7.635833333 48.722222222)
canton de Cormeilles,Épaignes,Point(0.440277777 49.279444444)
canton du Pellerin,Vue,Point(-1.881111111 47.198611111)
arrondissement de Troyes,Vulaines,Point(3.620833333 48.233333333)
Seine-et-Oise,Vélizy-Villacoublay,Point(2.188333333 48.783333333)
