nom,leonoreid,diplomes,professions
Jean-Marie-Joseph Coutelle,LH/621/28,,aérostier | ingénieur | militaire
Jean Marie Thérèse Doazan,LH/782/10,,personnalité politique
Jean Nicolas Demarquay,LH/724/87,,chirurgien
Jean Plattard,19800035/1228/41624,,romaniste | professeur d'université
Jean Pommier,19800035/1150/31526,,spécialiste de la littérature | romaniste | professeur d'université | professeur
Jean Thibaudin,LH/2588/8,,officier | militaire
Jean de Hauteclocque,19800035/157/20084,,résistant | diplomate
Jean du Rivau,19800035/1060/21989,,aumônier militaire | prêtre catholique
Joannès Charles Melchior Chatin,LH/503/105,,entomologiste | botaniste | professeur d'université | zoologiste
Martin-Guillaume Biennais,LH/235/45,,tabletier | orfèvre
Paul Cambon,LH/413/21,,diplomate
Jules Martin,LH/1763/3,,personnalité politique
Joseph Ortolan,LH/2024/6,,historien | juriste | écrivain
Maurice Exelmans,LH/916/25,,officier de la Marine française
Joseph-Michel Le Soufaché,LH/1615/23,,architecte
Joseph-Michel Dutens,LH/879/50,,économiste | ingénieur
Joseph Beaume,LH/155/74,,peintre
Ernest Denis,LH/731/50,,bohémiste | historien de l'Europe de l'Est | slaviste | professeur d'université | historien | personnalité politique | écrivain
Joseph Garnier,LH/1077/76,,économiste | personnalité politique
Joseph Clément Tissot,LH/2610/43,,auteur | écrivain
Joseph Fernand Gaston Robert Couget,19800035/736/83598,,diplomate
Joseph Diez Gergonne,LH/1122/28,,philosophe | professeur d'université | mathématicien
Joseph-Marie-Jules Parrot,LH/2058/2,,professeur d'université | médecin
Joseph Morand,LH/1924/35,,aristocrate
Joseph Pfleger,19800035/184/23954,,personnalité politique | médecin
Roger Jourdain,LH/1381/26,,illustrateur | peintre | personnalité politique
Joseph Romain-Desfossés,LH/2777/82,,officier de la Marine française | personnalité politique
Joseph Vallot,19800035/240/31838,,spéléologue | botaniste | météorologue | géographe | astronome
Joseph Vidal,19800035/752/85305,,personnalité politique
Joséphin Soulary,LH/2539/24,,critique | poète | écrivain
Jacques Charles Brunet,LH/383/35,,bibliographe | homme de lettres | bibliothécaire | écrivain
Louis Deffès,LH/687/18,,compositeur
Jules Andrade,LH/33/34,,professeur d'université | mathématicien | physicien
Jules Brévié,19800035/582/66010,,administrateur colonial | diplomate
Jules Charles-Roux,LH/2412/26,,industriel | armateur | personnalité politique
Jules Gervais-Courtellemont,LH/1125/63,,photographe de guerre | photojournaliste | photographe
Jules Patenôtre,LH/2065/59,,diplomate | enseignant
Jules Patenôtre des Noyers,LH/2065/59,,diplomate | enseignant
Jules Worms,LH/2762/37,,peintre | graveur
Jules de Joly,LH/1372/4,,architecte
Robert Bourgeois,19800035/175/22616,,géographe | personnalité politique
Julien Pierre Anne Lalande,LH/1448/69,,personnalité politique | militaire
Louis Bouveault,LH/342/10,,chimiste
Nicolas Lebel,LH/1513/15,,inventeur | militaire
Walter Schott,19800035/46/5709,,sculpteur
Roger Marx,LH/1772/41,,critique d'art | journaliste | collectionneur | historien de l'art | fonctionnaire | écrivain
Louis de Girardin,LH/1146/49,,peintre | personnalité politique | militaire
Victor Dessaignes,LH/758/48,,chimiste | médecin
Victor Goybet,19800035/157/20036,,militaire
Clairville,LH/1986/29,,goguettier | librettiste | chansonnier | dramaturge | poète | écrivain
Sylvain Charles Valée,LH/2662/92,,officier | personnalité politique
Jules Chaplain,LH/484/9,,médailleur | sculpteur | graveur
Léon Ollé-Laprune,LH/2016/23,,philosophe
Anatole de Barthélemy,LH/126/61,,archéologue | numismate
François Amable Ruffin,LH/2425/8,,officier
Eugène-Casimir Villatte,LH/2717/13,,militaire
Jean François Leval,LH/1624/2,,militaire
Louis Capitan,LH/421/71,,anthropologue | médecin
René Olry,LH/2018/18,,militaire
Pierre Roche,19800035/248/33061,,céramiste | sculpteur | médailleur | peintre | graveur
Louis-Jules Dumoulin,LH/848/56,,peintre
François-Isidore de Ricard,LH/2317/36,,personnalité politique
Léon-François Sibour,LH/2513/50,,prêtre catholique | personnalité politique
Pierre-Victorien Lottin,LH/1662/30,,archéologue | historien de l'art | peintre | écrivain
Théodose de Lagrené,LH/1443/11,,diplomate | personnalité politique
Louis Florentin Calmeil,LH/410/52,,psychiatre
Alphonse Favier,LH/947/2,,prêtre catholique
Eugène Kalt,LH/1393/78,,ophtalmologue
François Adrien Polycarpe Chabaille,LH/463/18,,romaniste
Polycarpe Chabaille,LH/463/18,,romaniste
Léon Comerre,LH/576/67,,peintre
Mathurin Moreau,LH/1930/10,,sculpteur | personnalité politique
Marcel Ulrich,LH/2640/83,,personnalité politique
Paul Bodin,LH/265/27,,ingénieur
Lazare Sainéan,19800035/273/36528,,сollecteur de contes | historien de la littérature | lexicographe | linguiste | auteur de littérature pour la jeunesse | philologue | anthropologue | critique littéraire | romaniste | biographe | historien | écrivain
Jean Etcheberry,19800035/884/3665,,joueur de rugby à XV
Robert Levasseur,19800035/1270/46292,,joueur de rugby à XV
François Antoine Joseph Nicolas Macors,LH/1681/81,,officier | militaire
Gaston de La Touche,LH/529/48,,artiste graphique | sculpteur | peintre | illustrateur | photographe
Ernest Christophe,LH/537/49,,sculpteur
Antonin Carlès,LH/428/41,,sculpteur
Jules Cantini,LH/419/98,,marbrier | sculpteur
Émile Boeswillwald,LH/266/44,,historien de l'art | architecte
Dominique Parodi,19800035/96/12019,,philosophe | sociologue
Paul Hervieu,LH/1297/27,,journaliste | dramaturge | poète | écrivain
Maxime Maufra,19800035/270/36147,,lithographe | designer | artiste graphique | peintre | graveur
Édouard Barbey,LH/108/19,,ministre | personnalité politique
Bach,19800035/96/12025,,acteur de cinéma | chanteur | acteur | écrivain
Lorédan Larchey,LH/1481/98,,lexicographe | philologue | romaniste | bibliothécaire
Victor de Broglie,LH/371/24,,diplomate | personnalité politique
Louis-Edmond Claris,LH/542/46,,personnalité politique
Louis Gernet,19800035/846/96925,,linguiste | philologue classique | sociologue | anthropologue | érudit classique | professeur d'université | historien
Louis-Martin Berthault,LH/208/49,,architecte
Louis-Alexandre Cabié,19800035/157/20113,,peintre
Alexandre Piccinni,LH/2146/38,,chorégraphe | pianiste | compositeur
Louis Alexandre d'Albignac,LH/16/18,,officier
Louis Artaud,19800035/203/26600,,personnalité politique
Louis Baraguey d'Hilliers,LH/103/38,,militaire
Louis Clapisson,LH/541/48,,compositeur
Louis Eugène Marie Bautain,LH/146/84,,philosophe | théologien | prêtre catholique
Louis Évain,LH/914/21,,officier | personnalité politique
Louis Nicolas Grandeau,LH/1187/3,,agronome | chimiste
Louis Henri Armand Behic,LH/165/5,,personnalité politique
Louis Isidore Duperrey,LH/851/31,,hydrographe | explorateur | botaniste | cartographe
Louis Jean François Lagrenée,LH/1443/12,,peintre | enseignant
Louis Mantin,LH/1721/2,,collectionneur d'œuvres d'art
Louis Maurin,19800035/226/29781,,personnalité politique | militaire
Louis Pasquet,LH/2061/23,,personnalité politique
Louis Pierson,LH/2157/10,,personnalité politique
Louis Pierson,LH/2157/10,,personnalité politique
Louis Legoarant de Tromelin,LH/1558/53,,officier de marine | explorateur
Louis Ulbach,LH/2640/65,,journaliste | dramaturge | bibliothécaire | écrivain
Louis Valtat,LH/2668/26,,dessinateur | peintre | graveur
Louis Vauxcelles,19800035/1289/49004,,critique d'art
Fabius de Champville,19800035/541/61906,,journaliste | dramaturge | poète
Lucien Bechmann,19800035/906/5907,,architecte
Lucien Magne,LH/1686/12,,historien de l'art | architecte
Benjamin Rabier,19800035/563/64150,,réalisateur | auteur de littérature pour la jeunesse | auteur de bande dessinée | animateur
Raoul Dautry,LH/670/18,,directeur | homme d'État | ministre | personnalité politique | ingénieur | architecte
Léon Gaucherel,LH/1087/73,,graveur | peintre
Léon Hatot,19800035/836/95451,,bijoutier | horloger
Léon Meyer,19800035/1412/63205,,personnalité politique | personnalité du monde des affaires
Léon-Vivant Moissenet,LH/1896/13,,minéralogiste | professeur d'université
Léonce-Abel Mazoyer,LH/1813/7,,ingénieur
Raoul Le Mouton de Boisdeffre,LH/1585/31,,officier | militaire
Marc Nicolas Louis Pécheux,LH/2078/28,,officier
Marcel Bouteron,19800035/793/89643,,romaniste | historien | bibliothécaire
Marcel Lermoyéz,LH/1603/53,,chirurgien | médecin
Marcel Treich-Laplène,LH/2626/20,,administrateur colonial | explorateur
Pierre-Victor Malouet,LH/1711/40,,personnalité politique
Paul Grenier,LH/1198/52,,officier | personnalité politique | militaire
Marie-Louise Jaÿ,LH/560/12,,entrepreneur
Marie Étienne Péroz,LH/2104/36,,officier | écrivain
Jean Doulcet,19800035/728/82722,,diplomate
Marius Gabriel Cazemajou,LH/458/36,,explorateur | officier
Émilien Frossard,LH/1042/66,,peintre | pasteur
Martial de Guernon-Ranville,LH/1222/53,,juriste | personnalité politique | avocat | juge
Maurice Fouchet,LH/1006/80,,diplomate
Maurice Gignoux,19800035/105/13256,,géologue
Maurice Janin,LH/1352/51,,officier
Maurice Leblanc,LH/1514/85,,professeur d'université | ingénieur | personnalité du monde des affaires
Maurice Vieux,LH/2708/7,,professeur de musique | professeur d'université | compositeur
Maurice-Adolphe Yvon,LH/2765/34,,peintre | architecte | photographe
Max Ingrand,19800035/978/13354,,vitrailliste
Maximilien-Georges-Joseph Neumayer,LH/1983/9,,militaire
Maximin Deloche,LH/716/43,,historien
Robert Planquette,LH/2177/9,,pianiste | chanteur | compositeur
Henri Rivière,LH/2341/42,,journaliste | officier
Michel Heine,LH/1277/84,,banquier
Pierre-Louis Roederer,LH/2365/29,,journaliste | dramaturge | historien | diplomate | économiste | personnalité politique | avocat | écrivain
Michel Carlini,19800035/859/1031,,personnalité politique | avocat
Michel Chevalier,LH/522/31,,journaliste | économiste | professeur | personnalité politique | ingénieur
Michel Reneauld,LH/2793/17,,personnalité politique
Frédéric Soulacroix,19800035/239/31717,,peintre | aquarelliste
Ernest Hébrard,LH/1275/64,,archéologue | anthropologue | architecte | urbaniste
Albert Lavignac,LH/1507/30,,professeur de musique | musicologue | professeur d'université | pianiste | compositeur
Noël Gallon,19800035/685/78444,,professeur de musique | professeur d'université | organiste | écrivain | compositeur
Jean Louis Brigitte Espagne,LH/905/45,,officier | militaire
Charles-François Delacroix,LH/695/12,,diplomate | personnalité politique
Antoine Maurice Apollinaire d'Argout,LH/48/61,,banquier | fonctionnaire | personnalité politique
Moïse Schwab,LH/2488/6,,talmudiste | érudit du judaïsme | biographe | traducteur | bibliothécaire
Philippe Henri Joseph d'Anselme,LH/41/25,,militaire
Georges Louis Humbert,LH/1325/32,,militaire
Alphonse Henri d'Hautpoul,LH/770/12,,officier | personnalité politique | militaire
Émile Campardon,LH/415/20,,archiviste | historien
Charles Othon Frédéric Jean-Baptiste de Clarac,LH/542/4,,illustrateur botanique | érudit classique | artiste graphique | archéologue | anthropologue | peintre | historien de l'art | illustrateur | naturaliste
Léon Deschamps,19800035/216/28326,,médailleur | sculpteur
Max Blondat,LH/259/27,,sculpteur
Émile-François Chatrousse,LH/504/17,,critique d'art | sculpteur | graveur | écrivain
Athanase-Charles Coquerel,LH/586/76,,théologien | personnalité politique
Jean-Girard Lacuée,LH/1430/23,,personnalité politique | militaire
François Antoine Lallemand,LH/1450/29,,officier | personnalité politique
Charles Joseph Mathieu Lambrechts,LH/1459/33,,canoniste | personnalité politique
Louis Lumière,LH/1675/50,,réalisateur | chimiste | inventeur | entrepreneur | ingénieur | photographe
Lucien Adam,LH/7/29,,linguiste | juriste
Napoléon Maret,LH/1736/58,,diplomate | personnalité politique
Narcisse Parant,LH/2048/36,,personnalité politique | avocat
Jean-François Gendebien,LH/1108/17,,juriste | personnalité politique
Georges Abrial,19800035/1030/18877,,ingénieur en aérospatiale | ingénieur
Laurent Marqueste,LH/1750/1,,sculpteur | peintre
Alfred Maury,LH/1805/12,,archéologue | archiviste | historien | professeur
Victor Loche,LH/1648/61,,ornithologue | zoologiste | militaire | naturaliste
Victor Lemoine,LH/1583/15,,horticulteur | botaniste | jardinier
Théodore Barrière,LH/123/65,,dramaturge | écrivain | acteur
Alexis Joseph Delzons,LH/723/14,,militaire
Vladimir Golschmann,19800035/1168/33374,,chef d'orchestre
Louis de Grandmaison,LH/1670/34,,officier
Nicolas Charton,LH/498/25,,personnalité politique
Nicolas Charton,LH/498/25,,personnalité politique
Nicolas Dahlmann,LH/647/18,,officier
Nicolas Gosse,LH/1170/36,,peintre
François Tamisier,LH/2566/15,,personnalité politique | militaire
Athanase de Charette de La Contrie,LH/489/28,,officier | personnalité politique | militaire
François-Marie Luzel,LH/2778/7,,сollecteur de contes | linguiste | folkloriste | anthropologue | poète
Charles Joseph Evers,LH/914/56,,officier
Charles Wilfrid de Bériot,LH/191/64,,professeur de musique | pianiste | compositeur
Georges Mathias,LH/1788/29,,professeur de musique | pianiste | compositeur
Auguste Chauveau,LH/509/32,,physiologiste | zoologiste | vétérinaire | professeur
René-Charles Guilbert de Pixerécourt,LH/1231/71,,traducteur | dramaturge
Numa Baragnon,LH/103/34,,personnalité politique
Octave Lebesgue,LH/1514/3,,librettiste | auteur de littérature pour la jeunesse | journaliste | écrivain
André Fontainas,19800035/542/62072,,critique d'art | historien de l'art | poète | écrivain
Louis Charles Trabut,19800035/261/34785,,botaniste | médecin
Maurice Maréchal,19800035/598/67689,,violoncelliste | professeur de musique | professeur d'université
Paul Richaud,19800035/925/7923,,prêtre catholique
Henri Schneider,LH/2484/26,,personnalité politique | personnalité du monde des affaires
François Georges Osmin Laporte,19800035/1277/47264,,diplomate
Charles Tellier,LH/2642/2,,inventeur | personnalité du monde des affaires | ingénieur
Michel Marie Pacthod,LH/2032/18,,militaire
Jacques Zwobada,19800035/876/2857,,lithographe | designer | sculpteur | illustrateur
Francis de Croisset,LH/2752/56,,librettiste | dramaturge | écrivain
Gaston Wiet,19800035/1091/25370,,professeur
Armand Silvestre,LH/2518/65,,librettiste | chorégraphe | poète | écrivain
Joseph Fortuné Théodore Eydoux,LH/916/52,,ornithologue | médecin
Adrien Moreau,LH/1930/15,,sculpteur | peintre
Paul Bastid,19800035/1239/43074,,résistant | professeur d'université | juriste | personnalité politique
Paul Desains,LH/741/18,,physicien
Maxime Lalanne,LH/1449/15,,graveur sur cuivre | aquafortiste | peintre
Paul Segond,LH/2492/24,,gynécologue | chirurgien
Paul Ferrier,LH/962/37,,librettiste | traducteur | dramaturge | écrivain
Paul Helbronner,LH/1278/59,,géodésiste | alpiniste | photographe
Paul Hillemacher,19800035/108/13640,,pianiste | compositeur
Évariste-Vital Luminais,LH/1675/69,,peintre
Paul Jouve,19800035/1192/37869,,sculpteur | peintre | illustrateur
Gustave Courtois,19800035/164/21076,,peintre | enseignant
Paul Puget,LH/641/44,,compositeur
Paul Rohmer,19800035/1424/64765,,médecin
Paul Auguste Sollier,LH/2533/9,,neurologue | psychologue
Paul Soleillet,LH/2532/24,,explorateur
Paul Tirard,19800035/449/60067,,diplomate
Paul Welsch,19800035/115/14483,,graveur | peintre
Paul de Choudens,LH/534/52,,librettiste | éditeur | musicien | éditeur musical | poète | écrivain
Louis-Eugène Mouchon,LH/1947/65,,graveur | médailleur | dessinateur de timbres
Théophile Marion Dumersan,LH/1744/42,,chansonnier | librettiste | romancier | numismate | auteur-compositeur | conservateur | dramaturge | poète | écrivain
