pays,ville,coordonnesgroup
Maroc,Tahannaout,Point(-7.95083 31.3514)
Maroc,Sidi Ifni,Point(-10.166666666 29.383333333)
Maroc,Debdou,Point(-3.05111111 33.98583333)
Maroc,Talsint,Point(-3.44807 32.53527) | Point(-3.4408 32.5398) | Point(-3.45055556 32.865)
Maroc,Moulay Ali Cherif,Point(-4.275 31.2858) | Point(-4.2687 31.2847) | Point(-4.264166666 31.284166666) | Point(-4.2737 31.2175)
Maroc,Ksar Bjir,Point(-5.916388888 34.951666666)
Maroc,Boumia,Point(-5.13207 32.66526) | Point(-5.1 32.71666667)
Maroc,Fnideq,Point(-5.35 35.85)
Maroc,Bghaghza,Point(-5.61251 35.4542) | Point(-5.60228 35.45899)
Maroc,Tétouan,Point(-5.366666666 35.566666666)
Maroc,Ameur Seflia,Point(-6.41613 34.3111)
Maroc,Berrechid,Point(-7.587222222 33.27)
Maroc,Chouafaa,Point(-6.05 34.76666667)
Maroc,Taroudant,Point(-8.8778 30.4711)
Maroc,Bni Bouayach,Point(-3.85033 35.10559) | Point(-3.838333333 35.103333333)
Maroc,Azghar,Point(-5.895555555 34.185833333)
Maroc,Hassi Berkane,Point(-2.86667 34.8333) | Point(-2.86694 34.8392)
Maroc,Ketama,Point(-4.56856 34.9158)
Maroc,Mzefroune,Point(-5.684166666 34.842222222)
Maroc,Aklim,Point(-2.43333333 34.91666667) | Point(-2.43527778 34.92916667)
Maroc,Nekkour,Point(-3.864194444 35.012583333)
Maroc,Ben Guerir,Point(-7.95 32.23)
Maroc,Bejaâd,Point(-6.4 32.76) | Point(-6.3925 32.7741)
Maroc,Boulemane,Point(-4.733 33.366)
Maroc,Oulad Abbou,Point(-7.93333333 33.11555556)
Maroc,Echemmaia,Point(-8.65324 32.07054) | Point(-8.653238 32.0705393) | Point(-8.62638889 32.07361111)
Maroc,Imilchil,Point(-5.634722222 32.155)
Maroc,Dar El Kebdani,Point(-3.33223 35.12026)
Maroc,Amizmiz,Point(-8.25 31.21)
Maroc,Rfala,Point(-6.778333333 32.162777777)
Maroc,Afella Ighir,Point(-8.833299 29.5)
Maroc,Ain Beida,Point(-8.608 31.585)
Maroc,Aït Hkim-Aït Yzid,Point(-7.203888888 31.486111111)
Maroc,Aït M'hamed,Point(-6.98333333 32.56666667)
Maroc,Ait Ouikhalfen,Point(-5.728333333 33.729166666)
Maroc,Ait Yaazem,Point(-5.58333333 33.73333333)
Maroc,Khénifra,Point(-5.66 32.93)
Maroc,Tinejdad,Point(-5.035 31.5) | Point(-4.423088 31.930385)
Maroc,Oulad Teïma,Point(-9.21 30.4)
Maroc,Mellila,Point(-7.13333333 33.38333333)
Maroc,Sidi Yacoub,Point(-7.06666667 31.66666667)
Maroc,Témara,Point(-6.907647222 33.923366666)
Maroc,Aglou Plage,Point(-9.866924 29.774957)
Maroc,Aoulouz,Point(-8.15 30.7)
Maroc,Almis Marmoucha,Point(-4.18333333 33.31666667) | Point(-4.18 33.32)
Maroc,Anergui,Point(-5.936944444 32.066111111)
Maroc,Lalla Takerkoust,Point(-8.13305556 31.36694444)
Maroc,Aïn Erreggada,Point(-2.23806 34.9289)
Maroc,Aït Izdeg,Point(-4.47255 32.07295) | Point(-4.7409 32.6444)
Maroc,Aïn Cheggag,Point(-5.03333333 33.88333333)
Maroc,Aït Ayach,Point(-4.92917 32.6908) | Point(-5.06667 33.85)
Maroc,Aït Boubidmane,Point(-7.09262 31.791702)
Maroc,Aït Iaâza,Point(-8.79313 30.50626) | Point(-8.79778 30.5119)
Maroc,Aït Mzal,Point(-9.11666667 30.28333333)
Maroc,Bab Berred,Point(-4.91667 34.9833)
Maroc,Bouderbala,Point(-5.28706 33.81226)
Maroc,Boufakrane,Point(-5.48662 33.76013) | Point(-5.485268 33.7571)
Maroc,Sidi Bouzineb,Point(-4.100555555 34.828055555)
Maroc,Oued Zem,Point(-6.56 32.86)
Maroc,Bni Ahmed Imoukzan,Point(-4.460555555 34.783055555)
Maroc,Bni Arouss,Point(-5.64217 35.325) | Point(-5.629166666 35.306388888)
Maroc,Bni Darkoul,Point(-5.068753 35.056313)
Maroc,Bni Faghloum,Point(-5.154722222 34.895277777)
Maroc,Bni Oual,Point(-5.4 34.43333333)
Maroc,Afourar,Point(-6.54027778 32.20833333)
Maroc,Bouanane,Point(-3.03972222 32.0275) | Point(-3.04722222 32.03722222) | Point(-2.84359 32.2007)
Maroc,Tamazouzte,Point(-8.38333 31.3833)
Maroc,Fam El Hisn,Point(-8.89111111 29.01888889)
Maroc,Ain El Aouda,Point(-6.792222222 33.811111111)
Maroc,Imintanoute,Point(-8.850444444 31.177)
Maroc,Mohammédia,Point(-7.383333333 33.683333333)
Maroc,Bab Taza,Point(-5.2025 35.06388889)
Maroc,Goulmima,Point(-4.959166666 31.694444444)
Maroc,Lahraouyine,Point(-7.526665 33.541395)
Maroc,Massa,Point(-9.63333333 30.03333333)
Maroc,Hrara,Point(-7.09262 31.791702)
Maroc,Ighoud,Point(-8.88416667 31.85861111) | Point(-8.8552 31.85726)
