leonoreid,diplomes,professions
C/0/52,,nouvelliste | prosateur | librettiste | romancier | journaliste | prête-plume | dramaturge | écrivain | acteur | scénariste
LH/2748/54,,peintre
LH/2635/39,,peintre
LH/540/11,,industriel | entrepreneur | ingénieur
LH/2615/64,,prêtre catholique
LH/1841/5,,éditeur | journaliste
LH/128/45,,sculpteur | peintre
LH/1452/27,,compositeur de musique classique
LH/666/97,,autobiographe | romancier | dramaturge | poète | écrivain | scénariste
LH/376/34,,philanthrope | survivant | socialite | acteur
19800035/1182/36826,,anarchiste | féministe | diariste | explorateur | anthropologue | artiste lyrique | écrivain
LH/2299/33,,professeur d'université | pédagogue | juriste | avocat | juge
19800035/222/29229,,graveur | scénographe | peintre | illustrateur | poète
19800035/695/79470,,professeur de musique | pianiste
19800035/99/12464,,bactériologiste | microbiologiste | biologiste | professeur | médecin
19800035/1024/18177,,grand couturier
19800035/136/17159,,pianiste | musicien | compositeur
LH/100/10,,diplomate | personnalité politique | juge | écrivain
LH/482/32,,diplomate | officier | personnalité politique | militaire
19800035/759/86185,,acteur de cinéma | acteur de théâtre | modèle | auteur-compositeur | chanteur | compositeur | acteur
LH/1567/3,,peintre
LH/1373/8,,explorateur | archéologue | anthropologue | cartographe | égyptologue | géographe | bibliothécaire | ingénieur
LH/86/65,,personnalité politique
19800035/1297/49920,,professeur d'université | chimiste | physicien
19800035/80/9976,,ingénieur en aérospatiale | professeur | ingénieur
LH/1778/31,,personnalité politique | militaire
LH/2704/57,,prêtre catholique
LH/2576/72,,mathématicien | bibliothécaire
LH/2471/47,,explorateur | botaniste | médecin
LH/1755/11,,illustrateur scientifique | graveur | artiste graphique | sculpteur | peintre | photographe
19800035/551/62902,,dramaturge | écrivain
LH/156/74,,ingénieur
LH/2730/5,,militaire
LH/321/80,,officier | militaire
LH/1381/74,,officier | diplomate | personnalité politique | militaire
LH/413/58,,officier | militaire
LH/2177/32,,paléontologue | inventeur | physicien
LH/369/31,,poète | écrivain
LH/2312/76,,militaire
LH/1054/11,,peintre | graveur
LH/665/84,,peintre de paysage | artiste graphique | peintre | photographe
19800035/340/45768,,magicien
LH/109/55,,officier | militaire
LH/327/46,,prête-plume | dramaturge | écrivain
LH/563/70,,hautboïste | organiste | compositeur
LH/75/1,,dramaturge de production | dramaturge | bibliothécaire | personnalité politique | poète | écrivain
LH/1017/66,,romancier | journaliste | traducteur | dramaturge
LH/811/49,,théoricien de la musique | professeur de musique | musicologue | professeur d'université | organiste | enseignant | compositeur
19800035/35/4407,,professeur d'université | mathématicien
LH/1358/23,,administrateur colonial | officier de la Marine française | personnalité politique
19800035/643/74259,,pilote automobile
19800035/1193/37996,,romancier | journaliste | biographe | écrivain | scénariste
19800035/1044/20411,,essayiste | pasteur
19800035/1189/37552,,sculpteur
19800035/939/9305,,dessinateur | graveur | artiste | peintre | illustrateur
LH/194/23,,dessinateur | sculpteur
LH/2027/2,,officier | personnalité politique | militaire | écrivain
LH/1684/51,,physiologiste | neurologue | professeur | médecin
LH/1151/47,,botaniste | personnalité politique
LH/718/50,,peintre
19800035/1463/69262,,aquarelliste | dessinateur en bâtiment | artiste graphique | artiste visuel | sculpteur | peintre | illustrateur | graveur | poète | photographe | écrivain
LH/1157/63,,philosophe | anthropologue | journaliste | sculpteur | diplomate | personnalité politique | poète | écrivain
LH/2778/29,,officier | personnalité politique
LH/600/20,,peintre
19800035/274/36653,,industriel
LH/2042/39,,pilote automobile | personnalité politique | ingénieur | personnalité du monde des affaires
LH/427/76,,cavalier de concours complet | cavalier de saut d'obstacles | cavalier de dressage
LH/526/27,,chimiste | physicien
LH/1819/11,,grand couturier | costumier | personnalité du monde des affaires
LH/2728/54,,castellologue | préfacier | historien de l'architecture | dessinateur en bâtiment | restaurateur | historien de l'art | artiste | architecte | écrivain
LH/1472/39,,officier | militaire
C/0/41,,diplomate | personnalité politique | militaire
19800035/253/33686,,explorateur | spéléologue | avocat
LH/2359/31,,météorologue | mathématicien | astronome
LH/34/52,,collectionneur d'œuvres d'art | banquier | personnalité politique | militaire
LH/1488/34,,archéologue | paléontologue
LH/322/86,,professeur d'université
LH/368/19,,pathologiste | professeur d'université | neurologue | médecin
LH/351/94,,professeur d'université | physicien | médecin
LH/441/33,,ingénieur hydraulicien | militaire | astronome
LH/573/71,,violoniste | premier violon | chef d'orchestre
LH/677/16,,peintre
LH/807/49,,diplomate | personnalité politique
LH/818/28,,peintre
LH/34/33,,horticulteur | essayiste | architecte paysagiste | botaniste | professeur d'université | architecte
19800035/294/39547,,professeur d'université | mathématicien
19800035/1380/59422,,personnalité politique
LH/1198/11,,traducteur | diplomate | poète | écrivain
LH/1309/29,,ingénieur
LH/1876/11,,personnalité politique | militaire
LH/713/45,,officier | personnalité politique
LH/2549/39,,astronome
LH/2634/11,,arachnologiste | zoologiste | professeur
19800035/1478/71593,,professeur d'université | compositeur
LH/2142/45,,mathématicien
LH/2337/65,,pianiste
LH/1547/64,,personnalité politique | poète | enseignant | écrivain | journaliste d'opinion | journaliste | pédagogue | historien | juriste | professeur
19800035/209/27354,,peintre
LH/2487/47,,musicologue | philosophe | critique littéraire | critique musical | poète | écrivain
LH/730/82,,ingénieur en aérospatiale | cycliste | aviateur | entrepreneur
LH/2212/46,,paléontologue | géologue
C/0/13,,homme d'État | personnalité politique | avocat
LH/436/32,,ptéridologue | horticulteur | botaniste | jardinier | écrivain
LH/437/47,,professeur d'université | mathématicien | physicien
LH/940/63,,critique | historien de l'art | historien | médecin | écrivain
19800035/275/36821,,joueur de water-polo | nageur | journaliste
LH/52/39,,notaire | avocat | écrivain
19800035/444/59415,,explorateur | militaire
LH/2770/40,,officier | personnalité politique | militaire
LH/148/9,,caricaturiste | peintre | illustrateur | artiste
LH/189/16,,dramaturge | poète | écrivain
LH/256/19,,journaliste | auteur | écrivain
LH/2127/14,,critique d'art | journaliste | dramaturge | traducteur | poète | écrivain
LH/327/74,,historien
LH/340/85,,sociologue | politologue | écrivain
LH/341/33,,historien de la philosophie | philosophe | professeur d'université | historien
19800035/7/801,,historien de la philosophie | philosophe | professeur
LH/395/92,,indianiste | helléniste | linguiste | philologue | professeur
19800035/243/32381,,préhistorien | spéléologue | anthropologue | archéologue | conservateur | historien
LH/645/24,,diplomate
19800035/1435/66107,,diplomate
19800035/245/32634,,historien de l'Église | théologien | professeur d'université
LH/804/13,,personnalité politique | militaire | écrivain
LH/500/89,,anthropologue | archéologue | égyptologue
LH/1060/26,,céramiste | designer | verrier | souffleur de verre | ébéniste
LH/545/29,,officier | personnalité politique | écrivain
LH/2718/29,,militaire
LH/2744/10,,archiviste | traducteur | historien | bibliothécaire
LH/2692/33,,chimiste
19800035/1175/36082,,peintre
LH/2603/30,,diplomate | personnalité politique
LH/2288/24,,personnalité politique | militaire
LH/2288/25,,personnalité politique | militaire
LH/798/51,,officier
LH/360/55,,peintre | poète | écrivain
19800035/763/86686,,germaniste | professeur d'université | historien
LH/1203/65,,architecte
LH/2766/3,,marchand d'armes | personnalité du monde des affaires
LH/1826/2,,aventurier | personnalité politique | personnalité du monde des affaires
LH/2383/64,,officier de la Marine française | militaire
LH/2098/68,,banquier | personnalité politique
19800035/20/2522,,résistant | militaire
19800035/267/35687,,hydrographe
LH/1112/44,,explorateur
19800035/1472/70459,,sculpteur
LH/1244/25,,collectionneur d'œuvres d'art | archéologue | industriel | compositeur | écrivain
19800035/293/39409,,paléontologue | géologue | professeur
LH/1290/70,,officier | personnalité politique | militaire
LH/1373/19,,enseignant | compositeur
LH/1358/60,,ophtalmologue | espérantiste | personnalité politique | écrivain
LH/1391/20,,chimiste | pharmacien | professeur
19800035/173/22332,,résistant | personnalité politique | ingénieur
19800035/549/62762,,traducteur | écrivain
LH/1581/45,,ingénieur civil | professeur d'université | mathématicien | ingénieur
LH/1625/1,,pilote automobile | ingénieur | personnalité du monde des affaires
LH/1789/22,,mathématicien
19800035/390/52315,,biologiste | médecin
LH/1856/45,,philosophe des sciences | philosophe | chimiste
LH/2005/21,,ingénieur civil | architecte
19800035/92/11495,,historien de l'art | professeur d'université | historien | écrivain
LH/2012/12,,personnalité politique
LH/2028/39,,ornithologue | zoologiste | scientifique
LH/2038/37,,compositeur
LH/2119/30,,professeur d'université | compositeur
LH/2149/33,,romaniste | professeur d'université | traducteur | personnalité politique | écrivain
LH/2144/15,,mathématicien | professeur
LH/2234/13,,professeur de musique | pianiste | compositeur
LH/2413/22,,bactériologiste | immunologiste | médecin | photographe
LH/2500/3,,indianiste | traducteur | écrivain
LH/2679/38,,architecte
19800035/338/45485,,critique de cinéma | musicologue | critique littéraire | journaliste | critique musical | compositeur | écrivain
LH/2762/49,,juriste | économiste
LH/1146/58,,éditeur | journaliste | personnalité politique
LH/1396/76,,journaliste | dramaturge | personnalité politique | militaire
LH/2300/86,,météorologue | géologue
19800035/1423/64649,,historien
LH/2490/58,,botaniste | espérantiste | ingénieur
LH/2562/17,,professeur de musique | flûtiste | chef d'orchestre | compositeur
19800035/271/36211,,graveur | peintre
LH/466/21,,militaire
LH/2061/44,,personnalité politique | avocat
LH/709/25,,historien de l'art | peintre | écrivain
LH/1736/73,,réalisateur | physiologiste | directeur de la photographie | inventeur | professeur | médecin | photographe
C/0/42,,officier | personnalité politique
LH/929/28,,prêtre catholique | personnalité politique
LH/150/51,,cryptographe | mathématicien | militaire
LH/1464/49,,médecin
LH/1931/11,,graveur | collectionneur d'œuvres d'art | artiste visuel | céramiste | historien de l'art | peintre | affichiste | écrivain | photographe
LH/1965/62,,entomologiste | ornithologue | bibliothécaire | naturaliste
LH/1317/16,,explorateur
19800035/752/85259,,librettiste | journaliste | traducteur | diplomate | poète | écrivain
LH/2516/40,,clerc | sociologue | diplomate | personnalité politique | écrivain
LH/980/20,,écrivain de science-fiction | aérostier | écrivain | astronome
C/0/14,,personnalité politique
C/0/8,,personnalité politique
C/0/5,,homme d'État | personnalité politique | avocat
C/0/10,,personnalité politique | avocat
19800035/368/49441,,musicologue | compositeur de musique de film | musicien | chef d'orchestre | compositeur
LH/2597/4,,professeur de musique | musicologue | professeur d'université | compositeur
LH/2564/29,,historien de l'art | historien | écrivain | philosophe | critique littéraire
