leonoreid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc
LH/1108/61,1763-02-25T00:00:00Z,Bellac,Point(1.049444444 46.121944444),1844-05-18T00:00:00Z,Limoges,Point(1.261666666 45.834444444)
LH/2381/66,1806-05-11T00:00:00Z,Laburgade,Point(1.541111111 44.386388888),1882-11-06T00:00:00Z,Cahors,Point(1.440555555 44.4475)
LH/2638/88,1824-02-07T00:00:00Z,Paris,Point(2.351388888 48.856944444),1887-02-16T00:00:00Z,Tours,Point(0.688333333 47.392777777)
LH/228/41,1777-09-22T00:00:00Z,Nancy,Point(6.183611111 48.692777777),1815-04-13T00:00:00Z,Metz,Point(6.176944444 49.119722222)
19800035/648/74720,1895-10-09T00:00:00Z,Bayonne,Point(-1.476388888 43.4925),1965-08-19T00:00:00Z,Saint-Avold,Point(6.708055555 49.104166666)
LH/2671/46,1856-08-01T00:00:00Z,Lille,Point(3.0575 50.631944444),1927-11-01T00:00:00Z,Lille,Point(3.0575 50.631944444)
19800035/824/93814,1886-03-26T00:00:00Z,Lille,Point(3.0575 50.631944444),1961-05-28T00:00:00Z,Lille,Point(3.0575 50.631944444)
LH/115/17,1845-05-07T00:00:00Z,Gardanne,Point(5.476111111 43.454444444),1922-05-28T00:00:00Z,Marseille,Point(5.376388888 43.296666666)
LH/1190/46,1758-03-15T00:00:00Z,Sancerre,Point(2.838888888 47.331111111),1821-01-25T00:00:00Z,Bourges,Point(2.395555555 47.083611111)
LH/2054/3,1795-08-17T00:00:00Z,Orléans,Point(1.904166666 47.902222222),1866-03-05T00:00:00Z,Arras,Point(2.78 50.289166666)
LH/2074/28,1766-10-17T00:00:00Z,Lyon,Point(4.841388888 45.758888888),1839-01-27T00:00:00Z,Lyon,Point(4.841388888 45.758888888)
LH/1946/70,1771-04-03T00:00:00Z,Valence,Point(4.890833333 44.9325),1828-03-14T00:00:00Z,Lyon,Point(4.841388888 45.758888888)
LH/1046/50,1839-11-09T00:00:00Z,Laudun-l'Ardoise,Point(4.6575 44.105),1915-12-20T00:00:00Z,Rouen,Point(1.1025 49.443055555)
19800035/166/21270,1850-07-17T00:00:00Z,Mandeure,Point(6.805555555 47.451111111),1946-04-29T00:00:00Z,Besançon,Point(6.021388888 47.242222222)
LH/2122/39,1832-07-27T00:00:00Z,Saint-Fort-sur-Gironde,Point(-0.720833333 45.460555555),1909-08-28T00:00:00Z,Besançon,Point(6.021388888 47.242222222)
LH/2122/39,1832-07-27T00:00:00Z,Saint-Fort-sur-Gironde,Point(-0.72117 45.46088),1909-08-28T00:00:00Z,Besançon,Point(6.021388888 47.242222222)
LH/1503/27,1756-11-23T00:00:00Z,Pau,Point(-0.37 43.300833333),1835-04-10T00:00:00Z,Pau,Point(-0.37 43.300833333)
LH/1610/24,1773-02-12T00:00:00Z,Longny-au-Perche,Point(0.751944444 48.530277777),1837-04-27T00:00:00Z,Pau,Point(-0.37 43.300833333)
