ville,coordinatelieu
Le Troncq,Point(0.912777777 49.193055555)
Vraiville,Point(1.041388888 49.220833333)
Le Manoir,Point(1.203055555 49.313055555)
Saint-Étienne-du-Vauvray,Point(1.220277777 49.242777777)
Charentonnay,Point(2.873055555 47.145)
Mottier,Point(5.317222222 45.418888888)
Montégut-en-Couserans,Point(1.094444444 42.981111111)
La Bachellerie,Point(1.153611111 45.145833333)
Fercé,Point(-1.415277777 47.796111111)
Pajay,Point(5.139444444 45.363888888)
Saint-Mars-de-Coutais,Point(-1.735833333 47.1125)
Saint-Mars-de-Coutais,Point(-1.73437 47.11153)
Brouckerque,Point(2.291944444 50.953888888)
Landreville,Point(4.473611111 48.071944444)
Vieux-Reng,Point(4.046944444 50.329166666)
Berganty,Point(1.646944444 44.443611111)
Saint-Mars-la-Jaille,Point(-1.184722222 47.525277777)
Cambayrac,Point(1.285 44.4275)
Notre-Dame-de-l'Osier,Point(5.405277777 45.238333333)
Le Loroux-Bottereau,Point(-1.349166666 47.238055555)
Crézancy-en-Sancerre,Point(2.743888888 47.305277777)
Sainte-Anne-sur-Brivet,Point(-2.003333333 47.459722222)
Brain-sur-Allonnes,Point(0.065277777 47.3025)
Larbont,Point(1.401388888 42.991666666)
Rieux-en-Cambrésis,Point(3.3525 50.201111111)
La Bretonnière-la-Claye,Point(-1.256111111 46.483055555)
Bédeille,Point(1.103611111 43.0875)
Montoir-de-Bretagne,Point(-2.149166666 47.328333333)
Longeville-sur-Mogne,Point(4.060833333 48.148888888)
Carnac-Rouffiac,Point(1.231666666 44.413888888)
Petit-Auverné,Point(-1.290555555 47.61)
Le Mesnil-Jourdain,Point(1.119444444 49.176944444)
Saint-Gondran,Point(-1.835555555 48.266944444)
Saint-Séglin,Point(-2.004722222 47.853333333)
Revel,Point(5.868055555 45.185833333)
Berry-Bouy,Point(2.289444444 47.109722222)
Fravaux,Point(4.638333333 48.237777777)
Chalonnes-sous-le-Lude,Point(0.1725 47.559166666)
Le Thuit,Point(1.358888888 49.258055555)
Le Bourdet,Point(-0.6225 46.233333333)
Nantoin,Point(5.269166666 45.435555555)
Le Fresne-sur-Loire,Point(-0.928333333 47.400833333)
Hoéville,Point(6.434722222 48.706944444)
Saint-Julien-de-Vouvantes,Point(-1.238888888 47.641666666)
Baugy,Point(2.7275 47.081388888)
Cerbois,Point(2.1025 47.106111111)
Saint-Malon-sur-Mel,Point(-2.098888888 48.093055555)
Cuffy,Point(3.0525 46.960833333)
Bouhet,Point(-0.85822 46.16545)
Concressault,Point(2.576111111 47.489444444)
Bagat-en-Quercy,Point(1.241944444 44.371944444)
Quévreville-la-Poterie,Point(1.19 49.354444444)
Argenvières,Point(3.005555555 47.136944444)
Massac,Point(2.573055555 42.918333333)
Saint-Lumine-de-Clisson,Point(-1.336944444 47.083611111)
Chéry,Point(2.046388888 47.120277777)
Les Hogues,Point(1.396388888 49.426388888)
La Heunière,Point(1.414166666 49.061388888)
Caumont,Point(1.085555555 43.030555555)
La Croix-du-Perche,Point(1.048611111 48.274722222)
Fallencourt,Point(1.5675 49.8675)
Gajan,Point(1.126666666 43.0325)
Chavagnes-les-Redoux,Point(-0.918611111 46.716666666)
Glicourt,Point(1.240833333 49.935277777)
Notre-Dame-de-Gravenchon,Point(0.571111111 49.489166666)
Rouxmesnil-Bouteilles,Point(1.090277777 49.905277777)
Autrey,Point(6.130277777 48.531944444)
Ceyssac,Point(3.835555555 45.037777777)
Sautron,Point(-1.668333333 47.263611111)
Clémont,Point(2.307222222 47.568055555)
Ornolac-Ussat-les-Bains,Point(1.631666666 42.819444444)
Germigny-l'Exempt,Point(2.898333333 46.918055555)
Homécourt,Point(5.992777777 49.223055555)
Ilhat,Point(1.784444444 42.956944444)
Annay-la-Côte,Point(3.8875 47.534722222)
Concriers,Point(1.474444444 47.771388888)
Orist,Point(-1.176944444 43.640555555)
Bouhet,Point(-0.858333333 46.165555555)
Assay,Point(0.29 47.074444444)
Servon-sur-Vilaine,Point(-1.460555555 48.121388888)
Saint-M'Hervé,Point(-1.116111111 48.178611111)
Espalem,Point(3.232777777 45.3075)
Visseiche,Point(-1.300833333 47.955833333)
Sixt-sur-Aff,Point(-2.078333333 47.775833333)
Ferrières-sur-Ariège,Point(1.616388888 42.9425)
Saint-André-des-Eaux,Point(-2.310833333 47.313888888)
Saint-André-des-Eaux,Point(-2.31083 47.31389)
Lescure,Point(1.233611111 43.000555555)
Charenton-du-Cher,Point(2.642222222 46.729722222)
Chamalières-sur-Loire,Point(3.985555555 45.201111111)
Saint-Félix,Point(-0.599722222 46.089166666)
Bournoncle-Saint-Pierre,Point(3.318333333 45.343611111)
La Barde,Point(-0.04 45.123333333)
Pailhès,Point(1.4425 43.102222222)
Saint-Sulpice-des-Landes,Point(-1.623055555 47.766666666)
Thorigné-Fouillard,Point(-1.579722222 48.159722222)
Allègre,Point(3.711666666 45.199722222)
Blémerey,Point(6.734444444 48.583055555)
Esvres,Point(0.786111111 47.284444444)
Moigny-sur-École,Point(2.456944444 48.432777777)
Saint-André-en-Terre-Plaine,Point(4.059444444 47.480277777)
Treffendel,Point(-2.005555555 48.04)
Puisenval,Point(1.471111111 49.884722222)
Veurey-Voroize,Point(5.614444444 45.272222222)
Mercenac,Point(1.0775 43.040277777)
Raffetot,Point(0.514444444 49.600277777)
Limbrassac,Point(1.843888888 43.0175)
Bénaix,Point(1.86 42.906944444)
Le Puch,Point(2.100555555 42.718333333)
Longueil,Point(0.948888888 49.883055555)
Baillou,Point(0.842222222 47.968055555)
Chanaleilles,Point(3.488055555 44.861111111)
Osmoy-Saint-Valery,Point(1.322222222 49.796666666)
Chazelles,Point(3.488055555 45.019166666)
Fabas,Point(1.105833333 43.108055555)
Bussy-Saint-Martin,Point(2.690277777 48.849166666)
Trévilly,Point(4.059444444 47.529444444)
Rouville,Point(0.499166666 49.615277777)
Saint-Rémy-du-Plain,Point(-1.571388888 48.370277777)
Montagagne,Point(1.410555555 42.975277777)
Lercoul,Point(1.545555555 42.769722222)
Les Estables,Point(4.154444444 44.904444444)
Ouville-l'Abbaye,Point(0.861111111 49.694722222)
Saint-Maurice-Montcouronne,Point(2.126111111 48.5825)
Villethierry,Point(3.073611111 48.263888888)
Esplantas,Point(3.546666666 44.909444444)
Bonneval,Point(3.741388888 45.311666666)
Limésy,Point(0.925555555 49.613055555)
Villettes,Point(1.045 49.148888888)
Theil-sur-Vanne,Point(3.429444444 48.167777777)
Fontannes,Point(3.424722222 45.289166666)
Orveau,Point(2.2925 48.448055555)
Michery,Point(3.234722222 48.309444444)
Labry,Point(5.881111111 49.1725)
Saint-Pierre-des-Champs,Point(2.604722222 43.058611111)
Saint-Paulet,Point(1.877777777 43.406111111)
Montgaillard,Point(-0.483055555 43.742222222)
Luxey,Point(-0.519722222 44.263333333)
Brières-les-Scellés,Point(2.139166666 48.4575)
Lanoux,Point(1.426388888 43.118333333)
Passy,Point(3.302777777 48.11)
Nozières,Point(2.434444444 46.731111111)
Saint-Germain-des-Essourts,Point(1.319722222 49.538611111)
Auzouville-Auberbosc,Point(0.569444444 49.626388888)
Seyssinet-Pariset,Point(5.699166666 45.181388888)
Candé-sur-Beuvron,Point(1.260555555 47.495)
Villespy,Point(2.098055555 43.319166666)
Saint-Ouen-des-Alleux,Point(-1.425833333 48.328333333)
Justiniac,Point(1.491944444 43.212222222)
Langon-sur-Cher,Point(1.826944444 47.284444444)
Boigneville,Point(2.371666666 48.335555555)
Saint-Avit-Frandat,Point(0.651944444 43.977777777)
Tannerre-en-Puisaye,Point(3.131111111 47.735)
Sergines,Point(3.261388888 48.342222222)
Sainte-Aurence-Cazaux,Point(0.422222222 43.375)
Neuvy-Sautour,Point(3.793888888 48.041944444)
Corbreuse,Point(1.961111111 48.498888888)
Saint-Antoine-la-Forêt,Point(0.471666666 49.537222222)
Roinville,Point(1.748333333 48.445277777)
Saint-Georges-de-Chesné,Point(-1.291388888 48.273611111)
Noé,Point(3.402777777 48.163611111)
Quarré-les-Tombes,Point(3.9975 47.368055555)
Val-d'Izé,Point(-1.304722222 48.177222222)
Cressy,Point(1.165833333 49.723055555)
Les Issards,Point(1.735555555 43.078333333)
Onville,Point(5.97 49.016944444)
Mailly-sur-Seille,Point(6.245 48.910555555)
Laroque-Timbaut,Point(0.761944444 44.283055555)
Chassignolles,Point(3.492222222 45.396944444)
Paron,Point(3.263888888 48.189444444)
Villarzel-du-Razès,Point(2.206666666 43.139166666)
Champlan,Point(2.274444444 48.708611111)
Saint-Benoît,Point(2.061944444 43.017777777)
Vignevieille,Point(2.524444444 43.005555555)
Vernoy,Point(3.125 48.095277777)
Bas-en-Basset,Point(4.109166666 45.306111111)
La Chapelle-Bertin,Point(3.648888888 45.218888888)
Mespuits,Point(2.272222222 48.356944444)
Change,Point(4.634166666 46.929722222)
Mélagues,Point(3.0175 43.739444444)
Saint-Benoît-des-Ondes,Point(-1.851388888 48.619722222)
Villalier,Point(2.412777777 43.257222222)
La Chomette,Point(3.474444444 45.229722222)
Vignoc,Point(-1.782222222 48.248888888)
Sindères,Point(-0.985277777 44.026666666)
Saint-Julia-de-Bec,Point(2.245555555 42.868333333)
Céaux-d'Allègre,Point(3.747222222 45.181111111)
Saint-Priest-la-Roche,Point(4.093611111 45.912777777)
Hagéville,Point(5.861388888 49.031944444)
Saint-Georges-sur-la-Prée,Point(1.936666666 47.225833333)
Chenereilles,Point(4.251944444 45.133333333)
Honnechy,Point(3.471388888 50.068611111)
Vivans,Point(3.9425 46.189444444)
Cordelle,Point(4.061388888 45.943888888)
Saint-Martin-de-Villereglan,Point(2.211388888 43.105833333)
Boyer,Point(4.885 46.592222222)
Lauret,Point(-0.344166666 43.562777777)
Tartaras,Point(4.668611111 45.553888888)
Beaumont,Point(3.341388888 45.313333333)
Chadron,Point(3.935277777 44.960833333)
Coust,Point(2.596388888 46.6925)
Chuyer,Point(4.693611111 45.457222222)
Saint-Romain-les-Atheux,Point(4.376111111 45.356111111)
Saint-Senoux,Point(-1.787777777 47.905833333)
Sainte-Montaine,Point(2.32 47.490277777)
La Côte-en-Couzan,Point(3.846111111 45.783611111)
Bissey-sous-Cruchaud,Point(4.683888888 46.731666666)
Boussac,Point(2.3675 44.280833333)
Montigny,Point(2.681111111 47.239444444)
Morlac,Point(2.308333333 46.719166666)
Pauilhac,Point(0.6125 43.875555555)
Villesèquelande,Point(2.231388888 43.2375)
Villeperrot,Point(3.228333333 48.261944444)
Saint-Michel-de-Lanès,Point(1.758333333 43.324722222)
Cronce,Point(3.360555555 45.0925)
Saint-Couat-du-Razès,Point(2.109722222 43.000555555)
Arlet,Point(3.419166666 45.116111111)
Unias,Point(4.2275 45.605)
Saint-Brès,Point(0.769722222 43.779166666)
Clessé,Point(4.815 46.416388888)
Saint-Aubin-du-Pavail,Point(-1.461388888 48.043611111)
Cornusse,Point(2.730833333 46.954444444)
Bermonville,Point(0.634722222 49.641111111)
Marolles-en-Beauce,Point(2.200277777 48.375)
Neuilly-en-Dun,Point(2.782777777 46.799166666)
Romazy,Point(-1.496944444 48.375555555)
Croizet-sur-Gand,Point(4.229722222 45.915833333)
Brachy,Point(0.949722222 49.815277777)
La Valla-en-Gier,Point(4.516388888 45.415833333)
Saint-Léger-le-Petit,Point(3.004166666 47.1225)
Fraisses,Point(4.266111111 45.387777777)
Dumes,Point(-0.582222222 43.705833333)
L'Étrat,Point(4.379166666 45.485555555)
Agassac,Point(0.8875 43.371111111)
Cleppé,Point(4.180277777 45.769166666)
Givardon,Point(2.816944444 46.84)
Villers,Point(4.2225 46.121388888)
Fontanès,Point(4.437222222 45.546666666)
La Gimond,Point(4.41 45.556944444)
Lunery,Point(2.271111111 46.935277777)
Arpheuilles,Point(2.560555555 46.7825)
Poisieux,Point(2.098055555 47.029166666)
Cuzy,Point(4.031666666 46.76)
Clermont-Savès,Point(1.029722222 43.6175)
Bacqueville-en-Caux,Point(0.998611111 49.786944444)
Sainte-Colombe-sur-l'Hers,Point(1.966111111 42.9525)
Saint-M'Hervon,Point(-2.058888888 48.228333333)
Noyelles-sur-Escaut,Point(3.181944444 50.138333333)
Saint-Georges-sur-Moulon,Point(2.4225 47.190277777)
Flaugnac,Point(1.393611111 44.278333333)
Caudebec-lès-Elbeuf,Point(1.021111111 49.280833333)
Mouazé,Point(-1.609722222 48.231666666)
Beaurières,Point(5.559444444 44.571666666)
La Terrasse-sur-Dorlay,Point(4.583333333 45.448333333)
Saint-Outrille,Point(1.840555555 47.143888888)
Montours,Point(-1.308888888 48.442777777)
Granges-les-Beaumont,Point(4.983055555 45.051111111)
Saint-Baudel,Point(2.206944444 46.838333333)
Saint-Romain-d'Urfé,Point(3.827777777 45.887222222)
Mornay-sur-Allier,Point(3.028888888 46.818888888)
Maurois,Point(3.467222222 50.075)
Blangy-sur-Bresle,Point(1.628611111 49.931944444)
Saint-Colomban,Point(-1.583611111 47.008888888)
La Tour-en-Jarez,Point(4.388611111 45.485277777)
Loye-sur-Arnon,Point(2.386388888 46.652777777)
Viesly,Point(3.463888888 50.153055555)
Salvizinet,Point(4.274722222 45.759444444)
La Fouillouse,Point(4.313611111 45.503888888)
Craintilleux,Point(4.234722222 45.583333333)
Villemagne,Point(2.111388888 43.358333333)
Saint-Céols,Point(2.629722222 47.221944444)
Camboulit,Point(1.949722222 44.6)
Villesiscle,Point(2.093611111 43.228055555)
Chazelles-sur-Lyon,Point(4.391944444 45.638611111)
Raissac-d'Aude,Point(2.88 43.228611111)
Villanière,Point(2.360833333 43.341944444)
Quantilly,Point(2.444722222 47.224166666)
Essertines-en-Châtelneuf,Point(3.997777777 45.619166666)
Villez-sur-le-Neubourg,Point(0.859444444 49.152222222)
La Chapelle-Achard,Point(-1.647222222 46.589444444)
Aubigny-au-Bac,Point(3.164444444 50.2625)
Morthomiers,Point(2.276666666 47.036944444)
Sainte-Gemme-en-Sancerrois,Point(2.816388888 47.393888888)
Bellencombre,Point(1.225833333 49.7075)
Primelles,Point(2.213055555 46.928333333)
Cutry,Point(5.741944444 49.483611111)
Bachos,Point(0.6175 42.897777777)
Bully,Point(4.005 45.9275)
Pécharic-et-le-Py,Point(1.835555555 43.186666666)
Chirassimont,Point(4.285277777 45.913611111)
Foëcy,Point(2.161666666 47.176944444)
Peyrusse-Vieille,Point(0.180833333 43.629444444)
La Bloutière,Point(-1.239166666 48.875)
Verneusses,Point(0.450277777 48.902777777)
La Dorée,Point(-0.965 48.448611111)
Parassy,Point(2.5475 47.233055555)
Apinac,Point(3.996111111 45.380833333)
Chavanay,Point(4.731111111 45.414722222)
Chèvreville,Point(-1.047222222 48.614166666)
Drevant,Point(2.525 46.693611111)
Sainte-Lunaise,Point(2.348333333 46.920555555)
Le Mesnil-au-Val,Point(-1.524444444 49.606666666)
Villiers-en-Désœuvre,Point(1.487777777 48.9475)
Beuvry-la-Forêt,Point(3.286944444 50.459444444)
Marigné-Peuton,Point(-0.813055555 47.869444444)
La Chaise-Baudouin,Point(-1.236944444 48.763611111)
Auchy-lez-Orchies,Point(3.205833333 50.479722222)
Sainte-Valière,Point(2.841666666 43.2725)
Héauville,Point(-1.8 49.581111111)
Chambœuf,Point(4.320277777 45.578055555)
Brou,Point(1.167222222 48.210277777)
Bachy,Point(3.26 50.550277777)
Ribaute,Point(2.635 43.107777777)
Saint-Polgues,Point(3.975 45.912222222)
Tostes,Point(1.111388888 49.259722222)
Montabot,Point(-1.125277777 48.934722222)
Mouchès,Point(0.4125 43.558055555)
Curières,Point(2.865833333 44.652777777)
Saint-Just-en-Bas,Point(3.880555555 45.730833333)
Saint-Denis-de-Palin,Point(2.538611111 46.939722222)
Saint-Eugène,Point(-0.285833333 45.5075)
Lugny-Champagne,Point(2.821666666 47.186111111)
Le Crozet,Point(3.855 46.170555555)
Laronxe,Point(6.604444444 48.540833333)
Saint-Hilaire-de-Gondilly,Point(2.886111111 47.049444444)
Pauligne,Point(2.161111111 43.073333333)
Civray,Point(2.174444444 46.967222222)
Bor-et-Bar,Point(2.075555555 44.188333333)
Venon,Point(1.048888888 49.172777777)
Tarentaise,Point(4.488611111 45.373055555)
Saint-Bouize,Point(2.885 47.284722222)
Saint-Sérotin,Point(3.157777777 48.247222222)
Touville,Point(0.759166666 49.303333333)
Cuinzier,Point(4.266944444 46.1275)
Cosqueville,Point(-1.408888888 49.694166666)
Gavray,Point(-1.35059 48.91108)
Gavray,Point(-1.35 48.909722222)
Raymond,Point(2.686111111 46.971111111)
Bretignolles-sur-Mer,Point(-1.86667 46.63333)
Bretignolles-sur-Mer,Point(-1.855 46.627777777)
Osmoy,Point(2.522777777 47.073333333)
Oizon,Point(2.515277777 47.474166666)
Cezay,Point(3.963055555 45.801944444)
Vérin,Point(4.7525 45.454166666)
Connac,Point(2.601944444 44.02)
Saint-Martin-Lestra,Point(4.354444444 45.720833333)
Comps-la-Grand-Ville,Point(2.567222222 44.230833333)
Menetou-Râtel,Point(2.755833333 47.351111111)
Viricelles,Point(4.375833333 45.6525)
Tournedos-Bois-Hubert,Point(0.981111111 49.076666666)
Saint-Martin-la-Plaine,Point(4.592777777 45.545833333)
Villers-en-Vexin,Point(1.588611111 49.250277777)
Souternon,Point(3.987777777 45.869166666)
Le Bessat,Point(4.514722222 45.368888888)
Trelins,Point(4.007777777 45.730833333)
Saint-Michel-de-Volangis,Point(2.488611111 47.147777777)
Saint-Hilaire-de-Court,Point(2.0225 47.206666666)
Sevelinges,Point(4.295833333 46.098333333)
Lingeard,Point(-1.026388888 48.738888888)
La Barre-de-Monts,Point(-2.118055555 46.883888888)
Balsac,Point(2.445 44.403055555)
Esclassan-Labastide,Point(0.558333333 43.422222222)
Saint-Romain-en-Jarez,Point(4.534444444 45.556111111)
Méry-ès-Bois,Point(2.363055555 47.314166666)
Gissac,Point(2.931944444 43.846388888)
Canet-de-Salars,Point(2.754166666 44.235555555)
Saint-Thurin,Point(3.871666666 45.816111111)
Ailleux,Point(3.9425 45.803611111)
La Boissière-des-Landes,Point(-1.462222222 46.564722222)
Villers-sur-le-Roule,Point(1.325833333 49.194722222)
Châteauneuf,Point(4.624722222 45.521944444)
Bouillé-Courdault,Point(-0.688888888 46.390555555)
Saint-Martin-la-Sauveté,Point(3.923611111 45.832777777)
Corpe,Point(-1.182222222 46.505277777)
La Godefroy,Point(-1.289166666 48.689722222)
Saint-Vincent-de-Boisset,Point(4.122222222 46.007222222)
Tournedos-sur-Seine,Point(1.260833333 49.274166666)
Benagues,Point(1.610555555 43.077222222)
Saint-Agnan,Point(3.051111111 48.305555555)
Pailly,Point(3.323055555 48.352222222)
Tourville-la-Campagne,Point(0.904722222 49.226666666)
Colombiès,Point(2.338055555 44.345)
Unieux,Point(4.261388888 45.401666666)
Ayssènes,Point(2.779444444 44.069444444)
Magneville,Point(-1.545833333 49.4475)
Maupertus-sur-Mer,Point(-1.484444444 49.657777777)
Saint-Martin-d'Estréaux,Point(3.798611111 46.206111111)
Saint-Priest-la-Vêtre,Point(3.813055555 45.804722222)
Précy-sur-Vrin,Point(3.2475 47.9675)
Villegats,Point(1.462222222 48.999722222)
Andrézieux-Bouthéon,Point(4.260277777 45.526111111)
Saint-Siméon,Point(0.52 49.285)
Le Mesnil-Amey,Point(-1.211666666 49.103888888)
Sauvigny-le-Beuréal,Point(4.109166666 47.486944444)
Saint-Quentin-la-Motte-Croix-au-Bailly,Point(1.451944444 50.073611111)
Bonac-Irazein,Point(0.973888888 42.876944444)
Gestiès,Point(1.573611111 42.765833333)
Toutainville,Point(0.462222222 49.363611111)
Gathemo,Point(-0.975833333 48.765277777)
Herqueville,Point(-1.8775 49.6675)
Augirein,Point(0.916944444 42.931666666)
Villerest,Point(4.036666666 45.993333333)
Valfleury,Point(4.4925 45.5225)
La Bastide-Pradines,Point(3.046388888 44.001388888)
Thénésol,Point(6.396944444 45.712222222)
Merry-la-Vallée,Point(3.332777777 47.799166666)
Cellieu,Point(4.541111111 45.522777777)
Montgellafrey,Point(6.318611111 45.392222222)
Bonson,Point(4.215833333 45.523333333)
Saint-Symphorien-de-Lay,Point(4.211666666 45.947777777)
Ferrières,Point(-0.9575 48.543888888)
Aguessac,Point(3.098333333 44.156666666)
Villeneuve-les-Cerfs,Point(3.330833333 46.009722222)
Valezan,Point(6.693611111 45.574722222)
Laqueuille,Point(2.7325 45.65)
Saint-Ouen-d'Attez,Point(0.953888888 48.802777777)
Arcinges,Point(4.280833333 46.1375)
Boyer,Point(4.209444444 46.0975)
Saint-Martin-sur-Armançon,Point(4.069444444 47.8725)
Vira,Point(2.413888888 42.77)
Nailly,Point(3.223055555 48.223611111)
Cantoin,Point(2.8125 44.836111111)
Boussenac,Point(1.369166666 42.903888888)
Gratot,Point(-1.495833333 49.068611111)
Calzan,Point(1.7375 43.038333333)
Halloy,Point(1.940555555 49.653888888)
Fontaine-le-Dun,Point(0.85 49.813055555)
Fauville-en-Caux,Point(0.591388888 49.653333333)
Aveizieux,Point(4.371944444 45.565)
Le Guislain,Point(-1.228888888 48.972222222)
Lozon,Point(-1.262777777 49.1425)
Saint-Germain-Village,Point(0.503888888 49.349166666)
Hécourt,Point(1.76 49.520277777)
Hermanville,Point(0.988333333 49.82)
Labruyère,Point(2.509444444 49.351388888)
Virigneux,Point(4.353611111 45.688888888)
Saint-Paul-d'Uzore,Point(4.080555555 45.678055555)
Urbise,Point(3.892222222 46.254166666)
Ry,Point(1.343611111 49.471388888)
Saint-Léger-lès-Domart,Point(2.1375 50.049166666)
Coussergues,Point(2.877222222 44.411388888)
Plancherine,Point(6.316388888 45.665277777)
Saint-Maurice-en-Gourgois,Point(4.183333333 45.401388888)
Belval-sous-Châtillon,Point(3.852222222 49.124166666)
Marcieux,Point(5.7625 45.613055555)
Rocquemont,Point(2.818333333 49.258888888)
Saint-Vincent-du-Boulay,Point(0.489722222 49.103055555)
Arvigna,Point(1.736111111 43.060833333)
Châtelneuf,Point(3.983055555 45.637777777)
Le Grand-Celland,Point(-1.185833333 48.680833333)
Auriac-Lagast,Point(2.580555555 44.146388888)
Coudeville-sur-Mer,Point(-1.526944444 48.881111111)
La Chapelle-d'Angillon,Point(2.433055555 47.363333333)
Saint-Léger-de-Rôtes,Point(0.66 49.112222222)
Venthon,Point(6.413611111 45.687777777)
Brie,Point(1.518333333 43.205277777)
Gajac,Point(-0.125 44.4375)
Boisse-Penchot,Point(2.206666666 44.591111111)
Le Clapier,Point(3.1725 43.831111111)
Martincourt,Point(1.8975 49.523055555)
Duclair,Point(0.875277777 49.484722222)
Saint-Loup-de-Varennes,Point(4.860555555 46.727777777)
Saint-Vital,Point(6.298055555 45.626944444)
Mâcot-la-Plagne,Point(6.671944444 45.553611111)
Freney,Point(6.626944444 45.193888888)
Le Mesnil-Amand,Point(-1.362777777 48.881388888)
Blacy,Point(4.553333333 48.7275)
Causse-et-Diège,Point(2.048333333 44.513888888)
Saint-Michel-sur-Rhône,Point(4.744722222 45.446111111)
Le Châtelet,Point(2.283055555 46.641666666)
Saint-Just-en-Chevalet,Point(3.845833333 45.913611111)
Pouilly,Point(2.030277777 49.272222222)
Caychax,Point(1.718888888 42.7925)
Saint-Cyr-la-Roche,Point(1.390833333 45.271388888)
Le Grand-Bourg,Point(1.644444444 46.16)
La Capelle-Bleys,Point(2.182777777 44.294722222)
La Capelle-Bonance,Point(3.012222222 44.442222222)
Mortemer,Point(2.676111111 49.570555555)
Usson-en-Forez,Point(3.941388888 45.389722222)
Campouriez,Point(2.606388888 44.689444444)
La Tremblade,Point(-1.141666666 45.769444444)
Saint-Barnabé,Point(-2.702777777 48.1375)
Saint-Pierre-de-Bailleul,Point(1.389444444 49.122777777)
La Fouillade,Point(2.041944444 44.231111111)
Grèges,Point(1.145 49.922777777)
Saint-Romain-le-Puy,Point(4.123055555 45.555555555)
Le Bourg,Point(1.903333333 44.709444444)
Le Meux,Point(2.744444444 49.367777777)
Courtagnon,Point(3.946111111 49.144722222)
Mansac,Point(1.383333333 45.168333333)
Saint-Just-Saint-Rambert,Point(4.24 45.499444444)
Saint-Victor-sur-Rhins,Point(4.281666666 46.004166666)
Dreuilhe,Point(1.859722222 42.946944444)
Corribert,Point(3.7675 48.943055555)
Bou,Point(2.0475 47.873333333)
Brugny-Vaudancourt,Point(3.886388888 48.999166666)
La Barre-de-Semilly,Point(-1.034166666 49.111388888)
Saint-Médard-en-Forez,Point(4.361944444 45.5975)
Les Moitiers-d'Allonne,Point(-1.779444444 49.401666666)
Chatelay,Point(5.701944444 47.028611111)
Chichey,Point(3.756388888 48.688888888)
Saint-Georges-Motel,Point(1.366666666 48.792777777)
Saint-Just-la-Pendue,Point(4.243055555 45.894166666)
Vicq,Point(3.605 50.408611111)
Camarade,Point(1.285833333 43.085555555)
Chigny-les-Roses,Point(4.062777777 49.156111111)
Plainville,Point(2.452777777 49.613611111)
Cieurac,Point(1.508055555 44.367777777)
Saint-Julien-de-la-Liègue,Point(1.294166666 49.137777777)
Saint-Germain-de-Pasquier,Point(0.999722222 49.245555555)
Chérencé-le-Roussel,Point(-1.016944444 48.708611111)
Saint-Ouen-de-Pontcheuil,Point(0.952777777 49.235833333)
Calmels-et-le-Viala,Point(2.7525 43.945833333)
Sainte-Opportune-la-Mare,Point(0.542777777 49.416666666)
Pont-l'Évêque,Point(2.987777777 49.564722222)
La Capelle-Balaguier,Point(1.936944444 44.437222222)
Gindou,Point(1.25 44.631388888)
Joganville,Point(-1.348888888 49.47)
Les Mollettes,Point(6.054166666 45.460833333)
Saint-Thomas-la-Garde,Point(4.080555555 45.566666666)
Branscourt,Point(3.821388888 49.27)
Monts,Point(2.015833333 49.216111111)
Saint-Priest-la-Prugne,Point(3.749722222 45.960833333)
Clairvaux-d'Aveyron,Point(2.410555555 44.4275)
Bagneux,Point(3.828055555 48.5575)
Saint-Pierre-la-Noaille,Point(4.096666666 46.179444444)
Saint-Didier-sur-Rochefort,Point(3.845 45.793333333)
Saint-Cyr-les-Vignes,Point(4.300277777 45.677222222)
Saint-Franc,Point(5.746111111 45.491388888)
Saint-Jouan-de-l'Isle,Point(-2.159166666 48.2675)
Cormoyeux,Point(3.914166666 49.109166666)
La Chapelle-Montmartin,Point(1.739722222 47.270277777)
Saint-Héand,Point(4.372777777 45.528611111)
Auzits,Point(2.327777777 44.506944444)
Le Dézert,Point(-1.164444444 49.204166666)
Bellou-sur-Huisne,Point(0.756388888 48.425555555)
Salt-en-Donzy,Point(4.288888888 45.7375)
Centrès,Point(2.408611111 44.163611111)
Saint-Germain-sur-Bresle,Point(1.733055555 49.830555555)
Ferrières-la-Verrerie,Point(0.375833333 48.652777777)
L'Étang-Bertrand,Point(-1.562777777 49.465)
Albiac,Point(1.811111111 44.766111111)
Brommat,Point(2.684722222 44.829722222)
Gignac,Point(1.457777777 45.005277777)
Villard-Léger,Point(6.178888888 45.51)
Saint-Joseph,Point(4.617777777 45.556944444)
Cras,Point(1.533333333 44.5675)
Roche-d'Agoux,Point(2.631666666 46.043888888)
Bourret,Point(1.168055555 43.943611111)
Saint-Julien-Molin-Molette,Point(4.615555555 45.322222222)
Espeyroux,Point(1.922777777 44.7625)
Boissières,Point(1.400555555 44.543333333)
Saint-Laurent-la-Conche,Point(4.211388888 45.683888888)
Saint-Genest-Malifaux,Point(4.419722222 45.34)
Saint-Vincent-des-Bois,Point(1.398888888 49.071388888)
Concorès,Point(1.395 44.658888888)
Condom-d'Aubrac,Point(2.865555555 44.603888888)
Boitron,Point(0.263333333 48.560277777)
Cantaous,Point(0.442777777 43.1025)
Brandonnet,Point(2.135277777 44.387777777)
Plélo,Point(-2.946666666 48.556388888)
Avernes-Saint-Gourgon,Point(0.319722222 48.939166666)
Chanu,Point(-0.677777777 48.728611111)
Aroffe,Point(5.899166666 48.400833333)
Cavagnac,Point(1.64 45.008611111)
